Elo	Username	W	L	T	Last update
1045	A Helpful Rayquaza	1	1	0	Mon Apr 11 2016 04:48:38 GMT+0100 (GMT Daylight Time)
1045	pUrPLe❤️DrAgON24	1	0	0	Mon Apr 11 2016 04:43:15 GMT+0100 (GMT Daylight Time)
1000	Fuzzytales	0	1	0	Mon Apr 11 2016 04:48:38 GMT+0100 (GMT Daylight Time)
