Elo	Username	W	L	T	Last update
1045	ShinxTheJinx	1	0	0	Fri Apr 08 2016 05:05:58 GMT+0100 (GMT Daylight Time)
1000	ImLittleBob	0	1	0	Fri Apr 08 2016 05:05:58 GMT+0100 (GMT Daylight Time)
